Регион,Округ,Год,Наименование,№ строки," Кол-во структур, ед"," Всего кол-во сотрудников, чел", Всего с профильным образованием," Всего объeм финансирования, руб", Расходы на мероприятия, Расходы на адм функции, Расходы на ремонт
Алтайский край,СФО,2021,"Региональные структуры по работе с молодeжью, в том числе:",28,  3 ,  79 ,  1 ,  121 243 602 ,  68 186 270 ,  52 268 310 ,  789 022 
Алтайский край,СФО,2021,"      региональный орган
      исполнительной власти",29,  1 ,  28 ,  -   ,  34 404 000 ,  7 000 000 ,  27 404 000 ,  -   
Алтайский край,СФО,2021,"      бюджетные
      учреждения",30,  2 ,  51 ,  1 ,  86 839 602 ,  61 186 270 ,  24 864 310 ,  789 022 
Алтайский край,СФО,2021,"Муниципальные структуры по работе с молодeжью, в том числе:",31,  80 ,  127 ,  33 ,  11 474 299 ,  5 817 581 ,  5 302 718 ,  354 000 
Алтайский край,СФО,2021,"      муниципальные
      органы
      испольнительной власти",32,  69 ,  92 ,  19 ,  10 204 299 ,  4 903 131 ,  5 141 168 ,  160 000 
Алтайский край,СФО,2021,"      муниципальные
      бюджетные
      учреждения",33,  11 ,  35 ,  14 ,  1 270 000 ,  914 450 ,  161 550 ,  194 000 
Амурская область,ДФО,2021,"Региональные структуры по работе с молодeжью, в том числе:",28,  1 ,  44 ,  -   ,  43 890 792 ,  13 854 300 ,  30 036 492 ,  -   
Амурская область,ДФО,2021,"      региональный орган
      исполнительной власти",29,  1 ,  44 ,  -   ,  43 890 792 ,  13 854 300 ,  30 036 492 ,  -   
Амурская область,ДФО,2021,"      бюджетные
      учреждения",30,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Амурская область,ДФО,2021,"Муниципальные структуры по работе с молодeжью, в том числе:",31,  34 ,  77 ,  5 ,  50 063 687 ,  9 295 387 ,  27 756 083 ,  13 012 217 
Амурская область,ДФО,2021,"      муниципальные
      органы
      испольнительной власти",32,  28 ,  40 ,  5 ,  11 122 640 ,  6 559 123 ,  4 563 517 ,  -   
Амурская область,ДФО,2021,"      муниципальные
      бюджетные
      учреждения",33,  6 ,  37 ,  -   ,  38 941 047 ,  2 736 264 ,  23 192 566 ,  13 012 217 
Архангельская область,СЗФО,2021,"Региональные структуры по работе с молодeжью, в том числе:",28,  5 ,  126 ,  44 ,"  477 180 826,00 ","  233 793 800,00 ","  82 614 026,00 ","  160 773 000,00 "
Архангельская область,СЗФО,2021,"      региональный орган
      исполнительной власти",29,  1 ,  23 ,  4 ,"  91 594 226,00 ","  85 017 200,00 ","  6 577 026,00 ",  -   
Архангельская область,СЗФО,2021,"      бюджетные
      учреждения",30,  4 ,  103 ,  40 ,"  385 586 600,00 ","  148 776 600,00 ","  76 037 000,00 ","  160 773 000,00 "
Архангельская область,СЗФО,2021,"Муниципальные структуры по работе с молодeжью, в том числе:",31,  28 ,  128 ,  57 ,"  105 660 403,00 ","  28 126 639,00 ","  68 812 787,00 ","  8 720 977,00 "
Архангельская область,СЗФО,2021,"      муниципальные
      органы
      испольнительной власти",32,  25 ,  45 ,  18 ,"  34 389 164,00 ","  23 523 141,00 ","  10 866 023,00 ",
Архангельская область,СЗФО,2021,"      муниципальные
      бюджетные
      учреждения",33,  3 ,  83 ,  39 ,"  71 271 239,00 ","  4 603 498,00 ","  57 946 764,00 ","  8 720 977,00 "
Астраханская  область,ЮФО,2021,"Региональные структуры по работе с молодeжью, в том числе:",28,  4 ,  119 ,  38 ,  87 125 958 ,  32 940 727 ,  54 185 231 ,  -   
Астраханская  область,ЮФО,2021,"      региональный орган
      исполнительной власти",29,  1 ,  13 ,  9 ,  10 497 327 ,,  10 497 327 ,
Астраханская  область,ЮФО,2021,"      бюджетные
      учреждения",30,  3 ,  106 ,  29 ,  76 628 631 ,  32 940 727 ,  43 687 904 ,
Астраханская  область,ЮФО,2021,"Муниципальные структуры по работе с молодeжью, в том числе:",31,  37 ,  180 ,  36 ,  52 404 471 ,  10 189 380 ,  41 415 091 ,  800 000 
Астраханская  область,ЮФО,2021,"      муниципальные
      органы
      испольнительной власти",32,  11 ,  33 ,  2 ,  17 714 081 ,  8 091 679 ,  9 622 402 ,
Астраханская  область,ЮФО,2021,"      муниципальные
      бюджетные
      учреждения",33,  26 ,  147 ,  34 ,  34 690 390 ,  2 097 701 ,  31 792 689 ,  800 000 
Белгородская область,ЦФО,2021,"Региональные структуры по работе с молодeжью, в том числе:",28,  2 ,  94 ,  62 ,  89 048 464 ,  42 682 278 ,  46 366 186 ,  -   
Белгородская область,ЦФО,2021,"      региональный орган
      исполнительной власти",29,  1 ,  10 ,  8 ,  24 298 507 ,  24 298 507 ,  -   ,  -   
Белгородская область,ЦФО,2021,"      бюджетные
      учреждения",30,  1 ,  84 ,  54 ,  64 749 957 ,  18 383 771 ,  46 366 186 ,  -   
Белгородская область,ЦФО,2021,"Муниципальные структуры по работе с молодeжью, в том числе:",31,  38 ,  177 ,  19 ,  94 546 125 ,  22 294 901 ,  72 243 224 ,  8 000 
Белгородская область,ЦФО,2021,"      муниципальные
      органы
      испольнительной власти",32,  22 ,  71 ,  15 ,  43 811 523 ,  16 985 742 ,  26 817 781 ,  8 000 
Белгородская область,ЦФО,2021,"      муниципальные
      бюджетные
      учреждения",33,  16 ,  106 ,  4 ,  50 734 602 ,  5 309 159 ,  45 425 443 ,  -   
