Регион,Округ,Год,Показатель,№ строки,Единица измерения, Значение
Республика Адыгея,ЮФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  16 087 
Республика Адыгея,ЮФО,2021,"Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику",35,ед,  27 314 
Республика Адыгея,ЮФО,2021,Финансирование информационного освещения реализации государственной молодeжной политики,36,руб,
Республика Адыгея,ЮФО,2021,"Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе",37,ед,  2 
Республика Адыгея,ЮФО,2021,"Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",38,ед,  60 
Республика Адыгея,ЮФО,2021,      в печатных средствах массовой информации,39,ед,  7 
Республика Адыгея,ЮФО,2021,      в интернет-СМИ,40,ед,  42 
Республика Адыгея,ЮФО,2021,      ТВ-сюжетов,41,ед,  11 
Республика Адыгея,ЮФО,2021,"Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",42,ед,  -   
Республика Адыгея,ЮФО,2021,"Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики",43,ед,  -   
Республика Адыгея,ЮФО,2021,"Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",44,чел,  881 
Республика Адыгея,ЮФО,2021,"Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях",45,ед,  19 
Республика Алтай,СФО,2021,"Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",34,чел,  7 010 
