Регион,Округ,Год,Наименование,№ строки," Кол-во рег. объединений, ед"," Кол-во мест. объединений, ед"," Число членов рег. объединений, чел"," Число членов мест. объединений, чел"," Число уч-в мер-й рег. объединений, чел"," Число уч-в мер-й мест. объединений, чел"," Объeм фин.поддержки рег. объединений, руб"," Объeм фин.поддержки мест. объединений, руб",,,
Республика Адыгея,ЮФО,2021,"Общественные объединения, включенные в реестр детских и молодeжных объединений, пользующихся государственной поддержкой",46,,  -   ,  5 368 ,,,,  -   ,,,,
Республика Адыгея,ЮФО,2021,"Объединения, включенные в перечень партнеров органа исполнительной власти, реализующего государственную молодeжную политику / работающего с молодeжью (исключая ситуации, включенные в реестр согласно Федеральному закону № 98-ФЗ)",47,  4 ,  -   ,  710 ,  -   ,  32 193 ,  -   ,  -   ,  -   ,,,
Республика Адыгея,ЮФО,2021,Политические молодeжные общественные объединения,48,  1 ,  -   ,  32 ,,  -   ,  -   ,  -   ,  -   ,,,
Республика Адыгея,ЮФО,2021,Молодeжные патрули / добровольные молодeжные дружины,49,  2 ,,  70 ,,,,  -   ,,,,
Республика Алтай,СФО,2021,"Общественные объединения, включенные в реестр детских и молодeжных объединений, пользующихся государственной поддержкой",46,  21 ,  26 ,  4 587 ,  184 ,  38 500 ,  592 ,  1 515 621 ,  100 000 ,,,
Республика Алтай,СФО,2021,"Объединения, включенные в перечень партнеров органа исполнительной власти, реализующего государственную молодeжную политику / работающего с молодeжью (исключая ситуации, включенные в реестр согласно Федеральному закону № 98-ФЗ)",47,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
Республика Алтай,СФО,2021,Политические молодeжные общественные объединения,48,  2 ,  -   ,  304 ,,  7 000 ,  3 800 ,  -   ,  -   ,,,
Республика Алтай,СФО,2021,Молодeжные патрули / добровольные молодeжные дружины,49,  -   ,,  -   ,,,,  -   ,,,,
Алтайский край,СФО,2021,"Общественные объединения, включенные в реестр детских и молодeжных объединений, пользующихся государственной поддержкой",46,  4 ,  78 ,  8 500 ,  5 928 ,  15 500 ,  13 866 ,  300 000 ,  275 000 ,,,
Алтайский край,СФО,2021,"Объединения, включенные в перечень партнеров органа исполнительной власти, реализующего государственную молодeжную политику / работающего с молодeжью (исключая ситуации, включенные в реестр согласно Федеральному закону № 98-ФЗ)",47,  12 ,  141 ,  1 800 ,  11 952 ,  1 000 ,  51 558 ,  2 802 000 ,  403 500 ,,,
Алтайский край,СФО,2021,Политические молодeжные общественные объединения,48,  5 ,  24 ,  2 893 ,,  4 880 ,  2 962 ,  -   ,  5 000 ,,,
Алтайский край,СФО,2021,Молодeжные патрули / добровольные молодeжные дружины,49,  52 ,,  1 627 ,,,,  -   ,,,,
Амурская область,ДФО,2021,"Общественные объединения, включенные в реестр детских и молодeжных объединений, пользующихся государственной поддержкой",46,  21 ,  38 ,  2 701 ,  7 453 ,  11 565 ,  19 015 ,  180 000 ,  66 000 ,,,
Амурская область,ДФО,2021,"Объединения, включенные в перечень партнеров органа исполнительной власти, реализующего государственную молодeжную политику / работающего с молодeжью (исключая ситуации, включенные в реестр согласно Федеральному закону № 98-ФЗ)",47,  58 ,  599 ,  1 837 ,  10 862 ,  23 298 ,  27 070 ,  -   ,  179 836 ,,,
Амурская область,ДФО,2021,Политические молодeжные общественные объединения,48,  3 ,  13 ,  65 ,,  3 718 ,  4 751 ,  -   ,  -   ,,,
Амурская область,ДФО,2021,Молодeжные патрули / добровольные молодeжные дружины,49,  2 ,,  125 ,,,,  -   ,,,,
Архангельская область,СЗФО,2021,"Общественные объединения, включенные в реестр детских и молодeжных объединений, пользующихся государственной поддержкой",46,  24 ,  5 ,  3 556 ,  290 ,  99 818 ,  1 783 ,  22 962 255 ,  841 536 ,,  66 339 ,  2 004 
Архангельская область,СЗФО,2021,"Объединения, включенные в перечень партнеров органа исполнительной власти, реализующего государственную молодeжную политику / работающего с молодeжью (исключая ситуации, включенные в реестр согласно Федеральному закону № 98-ФЗ)",47,  28 ,  306 ,  2 895 ,  310 225 ,  27 892 ,  79 971 ,  7 174 458 ,  5 180 817 ,,  28 213 ,  67 602 
Архангельская область,СЗФО,2021,Политические молодeжные общественные объединения,48,  -   ,  18 ,  1 005 ,,  540 ,  745 ,,,,,
Архангельская область,СЗФО,2021,Молодeжные патрули / добровольные молодeжные дружины,49,  1 ,,  26 ,,,,,,,,
Астраханская  область,ЮФО,2021,"Общественные объединения, включенные в реестр детских и молодeжных объединений, пользующихся государственной поддержкой",46,  29 ,  30 ,  33 498 ,  6 876 ,  15 500 ,  14 381 ,,,,,
Астраханская  область,ЮФО,2021,"Объединения, включенные в перечень партнеров органа исполнительной власти, реализующего государственную молодeжную политику / работающего с молодeжью (исключая ситуации, включенные в реестр согласно Федеральному закону № 98-ФЗ)",47,  79 ,  51 ,  9 344 ,  6 778 ,  14 148 ,  13 152 ,,,,,
Астраханская  область,ЮФО,2021,Политические молодeжные общественные объединения,48,  3 ,  6 ,  108 ,,  10 000 ,  7 112 ,,  30 000 ,,,
Астраханская  область,ЮФО,2021,Молодeжные патрули / добровольные молодeжные дружины,49,,,,,,,,,,,
Республика Башкортостан,ПФО,2021,"Общественные объединения, включенные в реестр детских и молодeжных объединений, пользующихся государственной поддержкой",46,  11 ,  277 ,  247 445 ,  112 762 ,  326 220 ,  198 145 ,  25 619 362 ,  4 246 113 ,,  322 020 ,  188 130 
Республика Башкортостан,ПФО,2021,"Объединения, включенные в перечень партнеров органа исполнительной власти, реализующего государственную молодeжную политику / работающего с молодeжью (исключая ситуации, включенные в реестр согласно Федеральному закону № 98-ФЗ)",47,  20 ,  262 ,  8 870 ,  36 269 ,  12 600 ,  124 881 ,  2 305 890 ,  455 388 ,,  12 511 ,  92 264 
Республика Башкортостан,ПФО,2021,Политические молодeжные общественные объединения,48,  4 ,  27 ,  5 400 ,,  70 ,  18 880 ,  -   ,  -   ,,,
Республика Башкортостан,ПФО,2021,Молодeжные патрули / добровольные молодeжные дружины,49,  30 ,,  71 ,,,,  -   ,,,,
Белгородская область,ЦФО,2021,"Общественные объединения, включенные в реестр детских и молодeжных объединений, пользующихся государственной поддержкой",46,  12 ,  276 ,  23 422 ,  28 754 ,  17 065 ,  54 323 ,  37 042 083 ,  576 543 ,,,
Белгородская область,ЦФО,2021,"Объединения, включенные в перечень партнеров органа исполнительной власти, реализующего государственную молодeжную политику / работающего с молодeжью (исключая ситуации, включенные в реестр согласно Федеральному закону № 98-ФЗ)",47,  16 ,  198 ,  8 765 ,  26 543 ,  21 071 ,  64 875 ,  52 377 ,  325 050 ,,,
Белгородская область,ЦФО,2021,Политические молодeжные общественные объединения,48,  7 ,  19 ,  1 037 ,,  451 ,  23 654 ,  -   ,  -   ,,,
Белгородская область,ЦФО,2021,Молодeжные патрули / добровольные молодeжные дружины,49,  13 ,,  305 ,,,,  -   ,,,,
Брянская область,ЦФО,2021,"Общественные объединения, включенные в реестр детских и молодeжных объединений, пользующихся государственной поддержкой",46,  17 ,  51 ,  3 720 ,  80 226 ,  27 195 ,  90 086 ,  10 490 026 ,  148 000 ,,  26 940 ,  88 751 
Брянская область,ЦФО,2021,"Объединения, включенные в перечень партнеров органа исполнительной власти, реализующего государственную молодeжную политику / работающего с молодeжью (исключая ситуации, включенные в реестр согласно Федеральному закону № 98-ФЗ)",47,  133 ,  56 ,  4 261 ,  6 324 ,  11 009 ,  4 570 ,  9 259 973 ,  203 586 ,,  10 540 ,  4 205 
Брянская область,ЦФО,2021,Политические молодeжные общественные объединения,48,  2 ,  22 ,  128 ,,  1 005 ,  3 744 ,  -   ,  82 000 ,,,
Брянская область,ЦФО,2021,Молодeжные патрули / добровольные молодeжные дружины,49,  9 ,,  296 ,,,,  -   ,,,,
Республика Бурятия,ДФО,2021,"Общественные объединения, включенные в реестр детских и молодeжных объединений, пользующихся государственной поддержкой",46,  2 ,  5 ,  380 ,  900 ,  300 ,  500 ,,,,,
