Регион,Округ,Год,Наименование,№ строки," Количество органов самоуправления, ед", Число членов органов при ОИВ, Число членов органов при ОПВ, Число членов ИК, Объем финанс-я ОМСУ, Число членов УССУ, Число уч-в мер-й УССУ, Объем финансирования УССУ
Республика Адыгея,ЮФО,2021,Региональный уровень,51,,  28 ,  50 ,  -   ,  100 000 ,,,
Республика Адыгея,ЮФО,2021,Муниципальный уровень,52,  -   ,  -   ,  -   ,  -   ,  -   ,,,
Республика Адыгея,ЮФО,2021,Ученическое самоуправление,53,  137 ,,,,,  18 021 ,  18 021 ,
Республика Адыгея,ЮФО,2021,Студенческое самоуправление,54,  10 ,,,,,  170 ,  6 560 ,  -   
Республика Алтай,СФО,2021,Региональный уровень,51,  1 ,  -   ,  15 ,  -   ,  -   ,,,
Республика Алтай,СФО,2021,Муниципальный уровень,52,  10 ,  100 ,  -   ,  -   ,  -   ,,,
Республика Алтай,СФО,2021,Ученическое самоуправление,53,  180 ,,,,,  23 099 ,  23 099 ,
Республика Алтай,СФО,2021,Студенческое самоуправление,54,  10 ,,,,,  2 506 ,  9 000 ,  -   
Алтайский край,СФО,2021,Региональный уровень,51,  3 ,  21 ,  84 ,  14 ,  -   ,,,
Алтайский край,СФО,2021,Муниципальный уровень,52,  49 ,  -   ,  910 ,  68 ,  147 028 ,,,
Алтайский край,СФО,2021,Ученическое самоуправление,53,  876 ,,,,,  13 603 ,  106 693 ,
Алтайский край,СФО,2021,Студенческое самоуправление,54,  155 ,,,,,  3 306 ,  25 480 ,  -   
Амурская область,ДФО,2021,Региональный уровень,51,  3 ,  20 ,  35 ,  16 ,  768 883 ,,,
Амурская область,ДФО,2021,Муниципальный уровень,52,  37 ,  286 ,  243 ,  32 ,  107 000 ,,,
Амурская область,ДФО,2021,Ученическое самоуправление,53,  173 ,,,,,  2 556 ,  22 578 ,
Амурская область,ДФО,2021,Студенческое самоуправление,54,  12 ,,,,,  7 309 ,  24 318 ,  595 000 
Архангельская область,СЗФО,2021,Региональный уровень,51,  4 ,  92 ,  115 ,  138 ,  -   ,,,
Архангельская область,СЗФО,2021,Муниципальный уровень,52,  71 ,  358 ,  92 ,  50 ,  10 000 ,,,
Архангельская область,СЗФО,2021,Ученическое самоуправление,53,  432 ,,,,,  10 527 ,,
Архангельская область,СЗФО,2021,Студенческое самоуправление,54,  38 ,,,,,  9 043 ,,
Астраханская  область,ЮФО,2021,Региональный уровень,51,  2 ,  30 ,  41 ,  11 ,  -   ,,,
Астраханская  область,ЮФО,2021,Муниципальный уровень,52,  26 ,  235 ,  68 ,  129 ,  -   ,,,
Астраханская  область,ЮФО,2021,Ученическое самоуправление,53,  110 ,,,,,  6 150 ,  19 838 ,
Астраханская  область,ЮФО,2021,Студенческое самоуправление,54,  67 ,,,,,  4 372 ,  15 965 ,  10 970 493 
Республика Башкортостан,ПФО,2021,Региональный уровень,51,  3 ,  19 ,  35 ,  40 ,  1 312 716 ,,,
Республика Башкортостан,ПФО,2021,Муниципальный уровень,52,  131 ,  657 ,  1 142 ,  153 ,  78 000 ,,,
Республика Башкортостан,ПФО,2021,Ученическое самоуправление,53,  933 ,,,,,  29 212 ,  180 131 ,
Республика Башкортостан,ПФО,2021,Студенческое самоуправление,54,  166 ,,,,,  19 337 ,  100 898 ,  4 366 657 
Белгородская область,ЦФО,2021,Региональный уровень,51,  2 ,  25 ,  45 ,  -   ,  315 000 ,,,
Белгородская область,ЦФО,2021,Муниципальный уровень,52,  62 ,  376 ,  182 ,  217 ,  137 090 ,,,
Белгородская область,ЦФО,2021,Ученическое самоуправление,53,  320 ,,,,,  5 796 ,  64 266 ,
Белгородская область,ЦФО,2021,Студенческое самоуправление,54,  40 ,,,,,  2 718 ,  62 370 ,  -   
Брянская область,ЦФО,2021,Региональный уровень,51,  2 ,  1 ,  1 ,  1 ,  600 000 ,,,
Брянская область,ЦФО,2021,Муниципальный уровень,52,  26 ,  372 ,  52 ,  45 ,  1 000 ,,,
Брянская область,ЦФО,2021,Ученическое самоуправление,53,  187 ,,,,,  67 540 ,  86 910 ,
Брянская область,ЦФО,2021,Студенческое самоуправление,54,  35 ,,,,,  33 775 ,  53 380 ,  -   
Республика Бурятия,ДФО,2021,Региональный уровень,51,  1 ,,  21 ,  -   ,  -   ,,,
Республика Бурятия,ДФО,2021,Муниципальный уровень,52,  21 ,  1 000 ,  100 ,  -   ,  -   ,,,
Республика Бурятия,ДФО,2021,Ученическое самоуправление,53,,,,,,  20 971 ,,
