region,Округ,Год,Наименование,№ строки,projects," Численность участников форумов соответствующего уровня, чел", Объeм рег. финансирования (в том числе посредством финансирования транспортных и, Объeм мун. финансирования (в том числе посредством финансирования транспортных и
Республика Адыгея,ЮФО,2021,Всероссийские молодeжные форумы,55,, - , 54 000 , - 
Республика Адыгея,ЮФО,2021,Окружные молодeжные форумы,56, 2 , 300 , - , - 
Республика Адыгея,ЮФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 900 , 343 460 , - 
Республика Адыгея,ЮФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 1 , 130 , - , 40 000 
Республика Адыгея,ЮФО,2021,Всего,59, 9 , 1 330 , 397 460 , 40 000 
Республика Алтай,СФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Республика Алтай,СФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Республика Алтай,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 50 , 3 500 000 , - 
Республика Алтай,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 1 , 100 , 113 507 , 110 000 
Республика Алтай,СФО,2021,Всего,59, 2 , 150 , 3 613 507 , 110 000 
Алтайский край,СФО,2021,Всероссийские молодeжные форумы,55,, - , 1 806 001 , - 
Алтайский край,СФО,2021,Окружные молодeжные форумы,56, 1 , 1 500 , 21 295 400 , - 
Алтайский край,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 4 , 1 110 , 5 256 791 , - 
Алтайский край,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 23 , 2 153 , 1 421 000 , 312 720 
Алтайский край,СФО,2021,Всего,59, 28 , 4 763 , 29 779 192 , 312 720 
Амурская область,СФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Амурская область,СФО,2021,Окружные молодeжные форумы,56, 2 , 224 , 587 293 , - 
Амурская область,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 2 , 140 , 1 166 410 , - 
Амурская область,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 24 , 3 472 , 40 000 , 703 607 
Амурская область,СФО,2021,Всего,59, 28 , 3 836 , 1 793 703 , 703 607 
Архангельская область,СЗФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Архангельская область,СЗФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Архангельская область,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 5 , 853 , 3 960 336 , 5 200 
Архангельская область,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 16 , 1 390 , 1 552 300 , 413 397 
Архангельская область,СЗФО,2021,Всего,59, 21 , 2 243 , 5 512 636 , 418 597 
Астраханская область,СЗФО,2021,Всероссийские молодeжные форумы,55, 1 , 61 ,,
Астраханская область,СЗФО,2021,Окружные молодeжные форумы,56, 1 , 463 , 10 574 700 ,
Астраханская область,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 5 , 298 ,,
Астраханская область,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 12 , 2 066 ,, 164 745 
Астраханская область,СЗФО,2021,Всего,59, 19 , 2 888 , 10 574 700 , 164 745 
Республика Башкортостан,ПФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Республика Башкортостан,ПФО,2021,Окружные молодeжные форумы,56, 1 , 30 , 300 000 , 12 000 
Республика Башкортостан,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 1 691 , 5 151 000 , 384 108 
Республика Башкортостан,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 68 , 11 411 , 30 000 , 3 038 479 
Республика Башкортостан,ПФО,2021,Всего,59, 75 , 13 132 , 5 481 000 , 3 434 587 
Белгородская область,ЦФО,2021,Всероссийские молодeжные форумы,55,, - , - , - 
Белгородская область,ЦФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Белгородская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 4 , 390 , 3 116 435 , 100 000 
Белгородская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 9 , 590 , - , 83 300 
