Регион,Округ,Год,Показатель,№ строки,Единица измерения,Значение
Республика Адыгея,ЮФО,2021,Общее количество региональных ресурсных центров поддержки добровольчества на территории субъекта Российской Федерации:,60,ед,  1 
Республика Адыгея,ЮФО,2021,"Количество государственных учреждений на территории субъекта Российской Федерации, работающих с добровольцами (волонтерами) и реализующих совместные программы в следущих сферах:",61,ед,  192 
Республика Адыгея,ЮФО,2021,      образование,62,ед,  150 
Республика Адыгея,ЮФО,2021,      здравохранение,63,ед,  13 
Республика Адыгея,ЮФО,2021,      социальная защита и социальное обслуживание,64,ед,  9 
Республика Адыгея,ЮФО,2021,      культура,65,ед,  17 
Республика Адыгея,ЮФО,2021,      физическая культура и спорт,66,чел,  1 
Республика Адыгея,ЮФО,2021,      охрана природы,67,чел,  1 
Республика Адыгея,ЮФО,2021,      строительство и ЖКХ,68,чел,  1 
Республика Адыгея,ЮФО,2021,"Общая численность граждан, вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства) на базе образовательных организаций, некоммерческих организаций, государственных и муниципальных учреждений в добровольческую (волонтерскую) деятельность на территории субъекта Российской Федерации, в том числе:",69,чел,  66 100 
Республика Адыгея,ЮФО,2021,      добровольцы (волонтеры) в возрасте от 7 до 13 лет,70,чел,  53 130 
Республика Адыгея,ЮФО,2021,      добровольцы (волонтеры) в возрасте от 14 до 30 лет,71,чел,  7 803 
Республика Адыгея,ЮФО,2021,      добровольцы (волонтеры) в возрасте от 31 до 54 лет,72,чел,  3 589 
Республика Адыгея,ЮФО,2021,      добровольцы (волонтеры) «серебряного» возраста (55 лет и старше),73,чел,  1 578 
Республика Адыгея,ЮФО,2021,"Общая численность граждан, вовлеченных в добровольческую деятельность на территории субъекта Российской Федерации, включая вовлеченных центрами (сообществами, объединениями) поддержки добровольчества (волонтерства), по направлениям сферы деятельности: добровольческая (волонтерская) деятельность в области образования",74,чел,  11 250 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) в сфере гражданско-патриотического воспитания,75,чел,  22 587 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) в сфере здравоохранения,76,чел,  2 256 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) в сфере социальной поддержки и социального обслуживания населения,77,чел,  4 471 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) в сфере культуры,78,чел,  6 344 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) в сфере физической культуры и спорта,79,чел,  2 065 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) в сфере охраны природы,80,чел,  3 856 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) в сфере развития городской среды и туристической деятельности,81,чел,  1 240 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) в сфере предупреждения и ликвидации последствий чрезвычайных ситуаций,82,чел,  78 
Республика Адыгея,ЮФО,2021,"      добровольчество (волонтерство) в сфере содействия в поиске пропавших людей, содействия органам внутренних дел и иным правоохранительным органам в охране общественного порядка в добровольных народных дружинах",83,чел,  119 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) в сфере обеспечения доступности правовой поддержки населения,84,чел,  254 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) в сфере финансового просвещения,85,чел,  154 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) по месту жительства,86,чел,  4 650 
Республика Адыгея,ЮФО,2021,      инклюзивное добровольчество (волонтерство),87,чел,  250 
Республика Адыгея,ЮФО,2021,      добровольчество (волонтерство) граждан в возрасте 55 лет и старше,88,чел,  1 578 
Республика Адыгея,ЮФО,2021,"      добровольчество (волонтерство), реализуемое в семейных формах",89,чел,  3 657 
Республика Адыгея,ЮФО,2021,      корпоративное добровольчество (волонтерство),90,чел,  1 258 
Республика Алтай,СФО,2021,Общее количество региональных ресурсных центров поддержки добровольчества на территории субъекта Российской Федерации:,60,ед,  1 
Республика Алтай,СФО,2021,"Количество государственных учреждений на территории субъекта Российской Федерации, работающих с добровольцами (волонтерами) и реализующих совместные программы в следущих сферах:",61,ед,  194 
Республика Алтай,СФО,2021,      образование,62,ед,  152 
Республика Алтай,СФО,2021,      здравохранение,63,ед,  21 
Республика Алтай,СФО,2021,      социальная защита и социальное обслуживание,64,ед,  12 
Республика Алтай,СФО,2021,      культура,65,ед,  2 
Республика Алтай,СФО,2021,      физическая культура и спорт,66,чел,  3 
Республика Алтай,СФО,2021,      охрана природы,67,чел,  3 
Республика Алтай,СФО,2021,      строительство и ЖКХ,68,чел,  1 
